                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8022,                 4.9073,                 1.4185,                0.02052,                0.08261,                0.01664,                0.01138,                 1.4529,                 4.3417,                 1.2885,               1.25e-05,               1.25e-05,               1.25e-05
                      2,                  1.751,                 4.8362,                 1.4512,                0.04208,                0.10234,                0.03301,                0.02306,                 1.3872,                 4.2067,                 1.2379,             2.9188e-05,             2.9188e-05,             2.9188e-05
                      3,                 1.5103,                 4.1317,                 1.3512,                0.18581,                0.12677,                0.11373,                0.08726,                 1.3315,                 4.4019,                  1.197,               4.34e-05,               4.34e-05,               4.34e-05
                      4,                 1.3564,                 3.4863,                 1.2137,                0.21902,                0.21604,                0.15612,                0.11091,                  1.352,                  4.654,                 1.2095,             5.5138e-05,             5.5138e-05,             5.5138e-05
                      5,                 1.2784,                 2.5705,                 1.1657,                0.42357,                0.20208,                0.23317,                0.14746,                  1.376,                 4.9915,                 1.2215,               6.44e-05,               6.44e-05,               6.44e-05
                      6,                 1.2228,                 1.6721,                 1.1581,                0.61319,                0.23943,                0.26179,                0.16907,                  1.333,                 4.5184,                 1.2309,             7.1188e-05,             7.1188e-05,             7.1188e-05
                      7,                 1.1801,                  1.493,                 1.1703,                0.57946,                0.26277,                0.28575,                0.19236,                 1.2603,                    3.4,                 1.2117,               7.55e-05,               7.55e-05,               7.55e-05
                      8,                 1.1464,                 1.3692,                 1.1396,                0.68538,                 0.2793,                0.37971,                0.25455,                 1.2282,                  2.769,                 1.2037,             7.7338e-05,             7.7338e-05,             7.7338e-05
                      9,                 1.1065,                 1.2304,                 1.1218,                0.54187,                0.41944,                0.39465,                0.26935,                 1.2089,                 2.0141,                 1.1965,               7.67e-05,               7.67e-05,               7.67e-05
                     10,                 1.1255,                 1.1557,                 1.0719,                0.59906,                0.39764,                0.40491,                0.28384,                 1.1912,                 1.7959,                 1.1888,             7.3588e-05,             7.3588e-05,             7.3588e-05
                     11,                 1.1005,                 1.1058,                  1.085,                0.60603,                0.34374,                0.40633,                0.28632,                 1.1726,                 1.4534,                 1.1808,                6.8e-05,                6.8e-05,                6.8e-05
                     12,                 1.0595,                 1.0176,                  1.083,                0.61099,                0.34319,                0.40752,                0.28701,                 1.1742,                 1.3259,                 1.1765,             5.9938e-05,             5.9938e-05,             5.9938e-05
                     13,                 1.0397,                0.97857,                 1.0519,                0.58497,                0.39945,                0.37371,                0.25948,                  1.194,                 1.1941,                 1.1793,               4.94e-05,               4.94e-05,               4.94e-05
                     14,                 1.0335,                0.95473,                 1.0726,                0.64311,                 0.4332,                0.37787,                0.26142,                 1.1958,                 1.1479,                 1.1767,             3.6387e-05,             3.6387e-05,             3.6387e-05
                     15,                 1.0371,                 0.9367,                 1.0567,                0.66673,                0.43172,                0.37113,                0.25821,                 1.1853,                 1.0768,                 1.1722,               2.09e-05,               2.09e-05,               2.09e-05
